,hardness-agree,hardness-maj,hardness-votes,n_votes,prep,rigidness-agree,rigidness-maj,rigidness-votes,size-agree,size-maj,size-votes,sub,verb,verb-speed-agree,verb-speed-maj,verb-speed-votes,weight-agree,weight-maj,weight-votes
144,3,-1,"[-1, -1, -1]",3,from,3,-1,"[-1, -1, -1]",3,-1,"[-1, -1, -1]",_p,jumped,3,1,"[1, 1, 1]",3,-1,"[-1, -1, -1]"
145,3,1,"[1, 1, 1]",3,at,2,1,"[-42, 1, 1]",3,1,"[1, 1, 1]",_p,jumped,2,1,"[1, 1, -1]",3,1,"[1, 1, 1]"
146,3,1,"[1, 1, 1]",3,,2,1,"[1, -1, 1]",3,1,"[1, 1, 1]",_d,jumped,2,1,"[1, 1, -42]",3,1,"[1, 1, 1]"
147,3,1,"[1, 1, 1]",3,,2,-42,"[-42, -1, -42]",2,1,"[1, 1, -1]",_od,jumped,3,1,"[1, 1, 1]",1,-42,"[-42, 1, -1]"
148,2,1,"[1, 1, -42]",3,in,2,1,"[1, 1, -42]",2,1,"[1, 1, -1]",_dp,jumped,2,1,"[1, -1, 1]",2,1,"[1, 1, -42]"
149,1,-42,"[-1, -42, 1]",3,on,2,-42,"[-1, -42, -42]",1,-42,"[-1, 1, -42]",_dp,jumped,2,1,"[-42, 1, 1]",1,-42,"[-1, 1, -42]"
150,1,-42,"[-42, 1, -1]",3,of,1,-42,"[-42, 1, -1]",1,-42,"[-42, 1, -1]",_dp,jumped,3,-42,"[-42, -42, -42]",1,-42,"[-42, 1, -1]"
151,3,-42,"[-42, -42, -42]",3,from,3,-42,"[-42, -42, -42]",2,-42,"[-1, -42, -42]",_op,heard,3,-42,"[-42, -42, -42]",2,-42,"[-1, -42, -42]"
152,3,-42,"[-42, -42, -42]",3,of,2,-42,"[-42, -42, -1]",3,-42,"[-42, -42, -42]",_op,heard,3,-42,"[-42, -42, -42]",2,-42,"[1, -42, -42]"
153,2,-42,"[-42, -1, -42]",3,from,2,-42,"[-42, -1, -42]",2,-42,"[-42, -1, -42]",_p,heard,2,-42,"[-42, -1, -42]",2,-42,"[-42, -1, -42]"
154,3,-42,"[-42, -42, -42]",3,of,3,-42,"[-42, -42, -42]",3,-42,"[-42, -42, -42]",_p,heard,3,-42,"[-42, -42, -42]",3,-42,"[-42, -42, -42]"
155,3,-42,"[-42, -42, -42]",3,,3,-42,"[-42, -42, -42]",3,-42,"[-42, -42, -42]",_d,heard,2,-42,"[-42, -42, -1]",3,-42,"[-42, -42, -42]"
156,2,-42,"[-42, -42, 1]",3,,3,-42,"[-42, -42, -42]",2,1,"[1, -42, 1]",_od,heard,3,-42,"[-42, -42, -42]",2,1,"[1, -42, 1]"
157,2,-42,"[-42, -1, -42]",3,on,2,-42,"[-42, -1, -42]",2,-42,"[-42, -1, -42]",_dp,heard,2,1,"[-1, 1, 1]",2,-42,"[-42, -1, -42]"
158,2,-1,"[-1, -42, -1]",3,from,2,-42,"[1, -42, -42]",2,-1,"[-1, -42, -1]",_dp,heard,2,-42,"[-42, -42, 1]",2,-1,"[-1, -42, -1]"
159,2,-42,"[-42, -1, -42]",3,at,2,-42,"[-42, -1, -42]",2,-42,"[-42, -1, -42]",_op,looked,2,-42,"[-42, -1, -42]",2,-42,"[-42, -1, -42]"
160,1,-42,"[1, -1, -42]",3,for,2,-42,"[-42, 1, -42]",2,1,"[1, -1, 1]",_op,looked,2,1,"[1, -1, 1]",2,1,"[1, -1, 1]"
161,3,-42,"[-42, -42, -42]",3,like,3,-42,"[-42, -42, -42]",3,-42,"[-42, -42, -42]",_op,looked,3,-42,"[-42, -42, -42]",3,-42,"[-42, -42, -42]"
162,2,-42,"[-42, -42, 1]",3,at,3,-42,"[-42, -42, -42]",2,-42,"[-42, -42, 1]",_p,looked,2,-42,"[-42, -42, 1]",2,-42,"[-42, -42, 1]"
163,2,-42,"[-42, -42, -1]",3,for,2,-42,"[-42, -42, -1]",2,-42,"[-42, -42, 1]",_p,looked,3,-42,"[-42, -42, -42]",2,-42,"[-42, -42, 1]"
164,2,-42,"[1, -42, -42]",3,like,2,-42,"[-1, -42, -42]",2,-42,"[1, -42, -42]",_p,looked,2,-42,"[1, -42, -42]",2,-42,"[1, -42, -42]"
165,2,-42,"[-42, -42, 1]",3,,2,-42,"[-42, -42, 1]",2,1,"[-42, 1, 1]",_d,looked,2,-42,"[-42, -42, -1]",2,1,"[-42, 1, 1]"
166,1,-42,"[1, -42, -1]",3,,3,-42,"[-42, -42, -42]",2,-42,"[1, -42, -42]",_od,looked,3,-42,"[-42, -42, -42]",1,-42,"[1, -42, -1]"
167,3,-42,"[-42, -42, -42]",3,over,2,-1,"[-42, -1, -1]",2,1,"[-42, 1, 1]",_op,washed,2,1,"[-42, 1, 1]",2,-1,"[-1, -1, 1]"
168,3,-42,"[-42, -42, -42]",3,up,2,-42,"[-42, -1, -42]",2,-42,"[-42, 1, -42]",_op,washed,2,1,"[1, -42, 1]",3,-42,"[-42, -42, -42]"
169,2,-42,"[-42, -42, 1]",3,in,2,-42,"[-42, 1, -42]",1,-42,"[-42, -1, 1]",_op,washed,2,-42,"[-42, -42, -1]",1,-42,"[-42, -1, 1]"
170,3,1,"[1, 1, 1]",3,out,2,-1,"[-1, -1, 1]",2,1,"[1, 1, -42]",_op,washed,2,1,"[1, 1, -42]",2,1,"[1, 1, -42]"
171,2,1,"[1, -42, 1]",3,down,2,-1,"[-1, -42, -1]",2,1,"[1, -42, 1]",_op,washed,2,1,"[1, -42, 1]",2,1,"[1, -42, 1]"
172,1,-42,"[-1, -42, 1]",3,in,2,-1,"[-1, 1, -1]",1,-42,"[-1, -42, 1]",_p,washed,2,1,"[1, -42, 1]",2,-1,"[-1, -1, 1]"
173,2,1,"[1, 1, -42]",3,out,2,-1,"[-42, -1, -1]",2,1,"[1, 1, -42]",_p,washed,2,1,"[1, -42, 1]",2,1,"[1, 1, -42]"
174,2,-42,"[-42, -42, 1]",3,with,2,-42,"[-42, -42, 1]",2,1,"[1, -42, 1]",_p,washed,1,-42,"[-1, -42, 1]",2,1,"[1, -42, 1]"
175,2,-42,"[-42, 1, -42]",3,down,2,-1,"[-42, -1, -1]",2,-42,"[-42, -1, -42]",_p,washed,2,1,"[-42, 1, 1]",2,-42,"[-42, 1, -42]"
176,3,-42,"[-42, -42, -42]",3,from,3,-42,"[-42, -42, -42]",2,1,"[1, -42, 1]",_p,washed,2,-42,"[-42, -42, 1]",2,1,"[1, -42, 1]"
177,2,-42,"[-1, -42, -42]",3,at,3,-1,"[-1, -1, -1]",2,-1,"[-1, -1, -42]",_p,washed,2,1,"[1, -42, 1]",2,-42,"[-1, -42, -42]"
178,2,-42,"[-42, 1, -42]",3,,2,-42,"[-42, 1, -42]",2,-42,"[-42, 1, -42]",_d,washed,2,-42,"[-42, -42, 1]",2,-42,"[-42, 1, -42]"
179,2,-42,"[-42, 1, -42]",3,,2,-42,"[-42, -1, -42]",2,-42,"[-42, 1, -42]",_od,washed,3,1,"[1, 1, 1]",2,-42,"[-42, 1, -42]"
180,2,-42,"[-1, -42, -42]",3,in,3,-1,"[-1, -1, -1]",3,-1,"[-1, -1, -1]",_dp,washed,2,1,"[1, 1, -42]",3,-1,"[-1, -1, -1]"
181,3,1,"[1, 1, 1]",3,with,3,1,"[1, 1, 1]",2,1,"[1, 1, -1]",_dp,washed,2,-1,"[1, -1, -1]",2,1,"[1, 1, -1]"
182,2,-1,"[-1, -1, -42]",3,at,2,-42,"[-42, -1, -42]",3,-1,"[-1, -1, -1]",_dp,washed,2,-42,"[-42, 1, -42]",3,-1,"[-1, -1, -1]"
183,2,-1,"[-1, -1, 1]",3,in,2,1,"[1, -42, 1]",2,1,"[-1, 1, 1]",_op,held,2,-1,"[-1, -1, -42]",2,-1,"[-1, -1, 1]"
184,2,-1,"[-42, -1, -1]",3,by,2,-42,"[-42, -42, -1]",2,-1,"[1, -1, -1]",_op,held,2,-42,"[-42, -1, -42]",2,-1,"[-42, -1, -1]"
185,3,1,"[1, 1, 1]",3,in,2,1,"[1, -42, 1]",2,1,"[-42, 1, 1]",_p,held,2,-42,"[-42, -42, 1]",3,1,"[1, 1, 1]"
186,2,1,"[1, 1, -1]",3,by,2,-1,"[-1, -42, -1]",2,1,"[1, 1, -42]",_p,held,3,-42,"[-42, -42, -42]",2,1,"[1, 1, -1]"
187,2,1,"[1, 1, -42]",3,,2,-42,"[-1, -42, -42]",3,1,"[1, 1, 1]",_d,held,3,-42,"[-42, -42, -42]",3,1,"[1, 1, 1]"
188,1,-42,"[-1, 1, -42]",3,,2,-42,"[-42, 1, -42]",2,1,"[1, 1, -42]",_od,held,3,-42,"[-42, -42, -42]",1,-42,"[-1, 1, -42]"
189,2,-1,"[-1, -1, 1]",3,with,1,-42,"[-1, -42, 1]",2,-1,"[-1, -1, -42]",_dp,held,3,-42,"[-42, -42, -42]",2,-1,"[-1, -1, -42]"
190,4,1,"[1, 1, 1, -1, -42, 1]",6,for,4,1,"[1, 1, 1, 1, -42, -42]",3,1,"[1, 1, 1, -1, -1, -42]",_dp,held,3,-42,"[-1, -1, -42, -1, -42, -42]",4,1,"[1, 1, 1, -1, -1, 1]"
191,2,1,"[1, -42, 1]",3,up,3,-42,"[-42, -42, -42]",2,1,"[1, -42, 1]",_op,dug,3,1,"[1, 1, 1]",2,1,"[1, -42, 1]"
192,2,1,"[-1, 1, 1]",3,in,2,-1,"[-1, -1, 1]",2,-1,"[-1, 1, -1]",_op,dug,3,1,"[1, 1, 1]",2,-1,"[-1, 1, -1]"
193,2,-42,"[1, -42, -42]",3,up,2,-1,"[-1, -1, -42]",1,-42,"[-1, 1, -42]",_p,dug,2,1,"[1, 1, -42]",2,-42,"[-42, 1, -42]"
194,2,-42,"[1, -42, -42]",3,in,1,-42,"[1, -1, -42]",2,-1,"[-42, -1, -1]",_p,dug,3,1,"[1, 1, 1]",2,-42,"[-42, -42, -1]"
195,2,1,"[-42, 1, 1]",3,out,3,-1,"[-1, -1, -1]",3,1,"[1, 1, 1]",_p,dug,3,1,"[1, 1, 1]",3,1,"[1, 1, 1]"
196,2,1,"[-1, 1, 1]",3,into,1,-42,"[-1, -42, 1]",1,-42,"[-1, -42, 1]",_p,dug,3,1,"[1, 1, 1]",1,-42,"[-1, -42, 1]"
197,2,1,"[-1, 1, 1]",3,from,3,-1,"[-1, -1, -1]",2,-1,"[-1, 1, -1]",_p,dug,3,1,"[1, 1, 1]",2,-1,"[-1, 1, -1]"
198,2,-42,"[1, -42, -42]",3,by,3,-42,"[-42, -42, -42]",2,-42,"[1, -42, -42]",_p,dug,2,1,"[1, 1, -42]",2,-42,"[-1, -42, -42]"
199,3,-42,"[-42, -42, -42]",3,for,2,-1,"[-1, -42, -1]",2,1,"[1, -42, 1]",_p,dug,2,1,"[1, -42, 1]",2,-42,"[-42, -42, 1]"
200,2,1,"[1, -42, 1]",3,,2,-1,"[1, -1, -1]",3,-42,"[-42, -42, -42]",_d,dug,3,1,"[1, 1, 1]",2,-42,"[-1, -42, -42]"
201,2,1,"[-42, 1, 1]",3,,1,-42,"[-42, -1, 1]",1,-42,"[-42, -1, 1]",_od,dug,2,1,"[-42, 1, 1]",2,-42,"[-42, -42, 1]"
202,2,-1,"[-42, -1, -1]",3,in,3,-1,"[-1, -1, -1]",3,-1,"[-1, -1, -1]",_dp,dug,2,-42,"[-42, -42, 1]",3,-1,"[-1, -1, -1]"
203,1,-42,"[1, -42, -1]",3,from,3,-1,"[-1, -1, -1]",2,-1,"[1, -1, -1]",_dp,dug,2,1,"[1, -42, 1]",2,-1,"[1, -1, -1]"
204,2,1,"[1, 1, -42]",3,for,1,-42,"[-1, 1, -42]",2,1,"[1, -1, 1]",_dp,dug,2,-42,"[-42, 1, -42]",3,1,"[1, 1, 1]"
205,3,1,"[1, 1, 1]",3,,2,-1,"[-1, 1, -1]",3,1,"[1, 1, 1]",_d,turned,1,-42,"[-1, -42, 1]",3,1,"[1, 1, 1]"
206,1,-42,"[-1, -42, 1]",3,,1,-42,"[-1, -42, 1]",1,-42,"[-1, -42, 1]",_od,turned,2,-1,"[-1, -42, -1]",1,-42,"[-1, -42, 1]"
207,2,-42,"[-42, -1, -42]",3,in,3,-42,"[-42, -42, -42]",3,-1,"[-1, -1, -1]",_dp,turned,3,1,"[1, 1, 1]",3,-1,"[-1, -1, -1]"
208,2,-42,"[-42, -1, -42]",3,into,2,-42,"[-42, -1, -42]",2,-1,"[-42, -1, -1]",_dp,turned,2,-42,"[-42, 1, -42]",2,-1,"[-42, -1, -1]"
209,2,-1,"[-1, -1, 1]",3,in,3,-1,"[-1, -1, -1]",2,1,"[-1, 1, 1]",_op,reached,2,1,"[-42, 1, 1]",2,1,"[-1, 1, 1]"
210,2,1,"[1, -42, 1]",3,for,1,-42,"[-1, -42, 1]",2,1,"[1, -42, 1]",_op,reached,2,-42,"[-42, -42, 1]",2,1,"[1, -42, 1]"
211,1,-42,"[1, -42, -1]",3,in,2,-1,"[-1, -42, -1]",1,-42,"[1, -42, -1]",_p,reached,2,-42,"[1, -42, -42]",2,-42,"[-42, -42, -1]"
212,3,1,"[1, 1, 1]",3,for,2,-1,"[-1, -1, 1]",3,1,"[1, 1, 1]",_p,reached,3,1,"[1, 1, 1]",3,1,"[1, 1, 1]"
213,2,-1,"[-1, -1, -42]",3,,2,-1,"[-1, -1, -42]",2,-1,"[-1, -1, -42]",_d,reached,2,1,"[1, 1, -42]",2,-1,"[-1, -1, -42]"
214,2,-1,"[-1, -42, -1]",3,,2,-1,"[-1, -42, -1]",2,-1,"[-1, -42, -1]",_od,reached,2,1,"[1, -42, 1]",2,-1,"[-1, -42, -1]"
215,3,1,"[1, 1, 1]",3,with,2,1,"[1, 1, -1]",2,1,"[-42, 1, 1]",_dp,reached,2,-1,"[-1, -1, -42]",3,1,"[1, 1, 1]"
216,2,1,"[1, -42, 1]",3,in,2,-1,"[-1, -1, 1]",3,1,"[1, 1, 1]",_op,wrote,2,1,"[1, -42, 1]",3,1,"[1, 1, 1]"
217,2,-42,"[1, -42, -42]",3,on,1,-42,"[-1, -42, 1]",2,1,"[1, 1, -42]",_op,wrote,2,-42,"[1, -42, -42]",2,1,"[1, 1, -42]"
218,1,-42,"[1, -1, -42]",3,for,1,-42,"[1, -1, -42]",1,-42,"[1, -1, -42]",_op,wrote,1,-42,"[1, -1, -42]",1,-42,"[1, -1, -42]"
219,2,1,"[1, 1, -42]",3,in,1,-42,"[1, -1, -42]",2,1,"[1, 1, -42]",_p,wrote,2,1,"[1, 1, -42]",2,1,"[1, 1, -42]"
220,2,-42,"[-42, -42, 1]",3,on,1,-42,"[-1, -42, 1]",2,-42,"[-42, -42, 1]",_p,wrote,2,1,"[1, -42, 1]",2,-42,"[-42, -42, 1]"
221,2,1,"[1, 1, -42]",3,for,2,-42,"[-42, 1, -42]",2,-42,"[-42, 1, -42]",_p,wrote,3,-42,"[-42, -42, -42]",2,1,"[1, 1, -42]"
222,2,1,"[-42, 1, 1]",3,,2,-42,"[-42, -42, 1]",2,1,"[-42, 1, 1]",_d,wrote,3,-42,"[-42, -42, -42]",2,1,"[-42, 1, 1]"
223,2,-42,"[-42, 1, -42]",3,,2,-42,"[-42, 1, -42]",2,1,"[-42, 1, 1]",_od,wrote,2,-42,"[-42, 1, -42]",2,1,"[-42, 1, 1]"
224,3,-42,"[-42, -42, -42]",3,in,3,-42,"[-42, -42, -42]",2,-42,"[-1, -42, -42]",_dp,wrote,3,-42,"[-42, -42, -42]",2,-42,"[-1, -42, -42]"
225,2,-1,"[1, -1, -1]",3,with,2,-1,"[1, -1, -1]",2,1,"[1, -42, 1]",_dp,wrote,2,-1,"[-1, -1, 1]",1,-42,"[1, -42, -1]"
226,2,-1,"[-1, -1, -42]",3,for,2,-1,"[-1, -1, -42]",2,-1,"[-1, -1, -42]",_dp,wrote,2,-42,"[-42, -1, -42]",2,-1,"[-1, -1, -42]"
227,2,-1,"[-1, -1, -42]",3,with,2,-42,"[-42, -1, -42]",1,-42,"[-42, 1, -1]",_p,conquered,2,-42,"[-42, 1, -42]",2,1,"[1, 1, -1]"
228,1,-42,"[-42, 1, -1]",3,,1,-42,"[-42, 1, -1]",1,-42,"[-42, 1, -1]",_d,conquered,2,-42,"[-42, -42, -1]",2,-42,"[-42, -42, -1]"
229,2,-42,"[-42, -1, -42]",3,,2,-42,"[-42, -1, -42]",2,-42,"[-42, -1, -42]",_od,conquered,2,-42,"[-42, 1, -42]",2,-42,"[-42, -1, -42]"
230,2,-1,"[-1, -42, -1]",3,on,2,-42,"[-42, -42, -1]",3,-1,"[-1, -1, -1]",_dp,conquered,2,-42,"[-42, 1, -42]",3,-1,"[-1, -1, -1]"
231,2,-1,"[-1, 1, -1]",3,with,2,-42,"[-42, -42, -1]",2,1,"[-42, 1, 1]",_dp,conquered,1,-42,"[-42, 1, -1]",2,1,"[-42, 1, 1]"
232,2,1,"[1, 1, -42]",3,by,2,-42,"[-1, -42, -42]",2,-42,"[1, -42, -42]",_dp,conquered,2,-42,"[-1, -42, -42]",3,-42,"[-42, -42, -42]"
233,3,-1,"[-1, -1, -1]",3,,3,-1,"[-1, -1, -1]",3,-1,"[-1, -1, -1]",_d,scaled,3,1,"[1, 1, 1]",3,-1,"[-1, -1, -1]"
234,2,-1,"[-1, -1, -42]",3,,3,-1,"[-1, -1, -1]",3,-1,"[-1, -1, -1]",_od,scaled,3,1,"[1, 1, 1]",3,-1,"[-1, -1, -1]"
235,2,-42,"[-42, -42, -1]",3,in,2,-42,"[-42, -42, -1]",2,-1,"[-1, -42, -1]",_dp,scaled,2,-42,"[-42, -42, 1]",2,-1,"[-1, -42, -1]"
236,1,-42,"[1, -1, -42]",3,with,1,-42,"[1, -1, -42]",1,-42,"[1, -1, -42]",_dp,scaled,2,-42,"[-1, -42, -42]",1,-42,"[1, -1, -42]"
237,3,-1,"[-1, -1, -1]",3,in,3,-1,"[-1, -1, -1]",3,-1,"[-1, -1, -1]",_op,sat,3,1,"[1, 1, 1]",3,-1,"[-1, -1, -1]"
238,2,-1,"[-1, -1, -42]",3,on,2,-1,"[-1, -1, -42]",2,-1,"[-1, -1, -42]",_op,sat,2,1,"[1, 1, -42]",1,-42,"[1, -1, -42]"
239,2,-1,"[-1, -1, -42]",3,in,2,-1,"[-1, -1, -42]",1,-42,"[1, -1, -42]",_p,sat,2,-42,"[-42, 1, -42]",1,-42,"[1, -1, -42]"
240,2,-1,"[-1, -1, 1]",3,on,2,-1,"[1, -1, -1]",3,-1,"[-1, -1, -1]",_p,sat,3,1,"[1, 1, 1]",2,-1,"[-1, -1, 1]"
241,2,1,"[1, 1, -1]",3,,2,-42,"[-42, -42, -1]",2,1,"[1, 1, -1]",_d,sat,2,1,"[1, -42, 1]",2,1,"[1, 1, -1]"
242,2,-1,"[-1, -1, -42]",3,,2,-1,"[-1, -1, -42]",2,-1,"[-1, -1, -42]",_od,sat,2,-42,"[1, -42, -42]",2,-1,"[-1, -1, -42]"
243,2,1,"[1, 1, -42]",3,off,2,1,"[1, 1, -42]",3,1,"[1, 1, 1]",_op,trimmed,3,1,"[1, 1, 1]",3,1,"[1, 1, 1]"
244,1,-42,"[-1, -42, 1]",3,with,2,-1,"[-1, -42, -1]",3,1,"[1, 1, 1]",_op,trimmed,3,-1,"[-1, -1, -1]",3,1,"[1, 1, 1]"
245,2,1,"[1, -42, 1]",3,with,2,-1,"[-1, -1, 1]",3,1,"[1, 1, 1]",_p,trimmed,2,1,"[1, -1, 1]",3,1,"[1, 1, 1]"
246,3,1,"[1, 1, 1]",3,,2,1,"[1, 1, -42]",2,1,"[1, 1, -42]",_d,trimmed,3,1,"[1, 1, 1]",2,1,"[1, 1, -42]"
247,2,1,"[1, -1, 1]",3,,2,-1,"[-1, -1, 1]",2,1,"[1, -1, 1]",_od,trimmed,2,1,"[1, 1, -1]",2,1,"[1, -1, 1]"
248,2,-1,"[-1, -1, -42]",3,in,3,-1,"[-1, -1, -1]",3,-1,"[-1, -1, -1]",_dp,trimmed,2,-42,"[-42, -42, 1]",2,-1,"[-1, -1, -42]"
249,2,-1,"[1, -1, -1]",3,on,2,-1,"[-1, -1, -42]",3,-1,"[-1, -1, -1]",_dp,trimmed,2,1,"[1, 1, -42]",3,-1,"[-1, -1, -1]"
250,2,-1,"[-1, 1, -1]",3,with,3,-1,"[-1, -1, -1]",2,1,"[1, 1, -42]",_dp,trimmed,2,-1,"[-1, -1, -42]",2,1,"[1, 1, -42]"
251,1,-42,"[1, -1, -42]",3,in,1,-42,"[1, -1, -42]",2,-1,"[-1, -1, -42]",_op,stood,3,-42,"[-42, -42, -42]",2,-42,"[-42, -1, -42]"
252,2,-1,"[-1, -1, 1]",3,on,2,-1,"[-1, -1, 1]",1,-42,"[-1, -42, 1]",_op,stood,2,1,"[1, 1, -42]",2,-1,"[-1, -1, 1]"
253,1,-42,"[-1, 1, -42]",3,in,2,-1,"[-1, -42, -1]",3,-1,"[-1, -1, -1]",_p,stood,3,-42,"[-42, -42, -42]",2,-1,"[-1, -1, -42]"
254,2,-1,"[-1, -1, -42]",3,on,3,-1,"[-1, -1, -1]",2,-1,"[-1, -1, -42]",_p,stood,2,-42,"[-42, 1, -42]",2,-1,"[-1, -1, -42]"
255,2,-1,"[-1, 1, -1]",3,,2,-1,"[-1, 1, -1]",1,-42,"[-1, 1, -42]",_d,stood,2,1,"[-42, 1, 1]",2,-1,"[-1, 1, -1]"
256,2,-42,"[-42, -42, 1]",3,,2,-42,"[-42, -42, 1]",2,-42,"[-42, -42, -1]",_od,stood,2,-42,"[-42, -42, 1]",2,-42,"[-42, -42, -1]"
257,2,1,"[1, 1, -1]",3,over,1,-42,"[1, -1, -42]",2,1,"[1, 1, -1]",_op,toppled,3,1,"[1, 1, 1]",2,1,"[1, 1, -1]"
258,2,-42,"[-1, -42, -42]",3,in,2,-42,"[1, -42, -42]",1,-42,"[-1, -42, 1]",_op,toppled,2,1,"[-42, 1, 1]",2,-42,"[-42, -42, 1]"
259,2,-1,"[-42, -1, -1]",3,into,2,-1,"[-42, -1, -1]",2,-1,"[-42, -1, -1]",_op,toppled,3,1,"[1, 1, 1]",2,-42,"[-42, -1, -42]"
260,2,-42,"[-1, -42, -42]",3,from,2,-1,"[-1, -1, -42]",2,-1,"[-1, -1, -42]",_op,toppled,2,1,"[1, 1, -42]",2,-1,"[-1, -1, -42]"
261,2,-42,"[1, -42, -42]",3,like,2,-42,"[1, -42, -42]",2,-42,"[1, -42, -42]",_op,toppled,2,-42,"[-1, -42, -42]",2,-42,"[1, -42, -42]"
262,2,1,"[-42, 1, 1]",3,over,2,-1,"[-42, -1, -1]",2,1,"[-42, 1, 1]",_p,toppled,2,1,"[-42, 1, 1]",2,1,"[-42, 1, 1]"
263,1,-42,"[-1, -42, 1]",3,into,1,-42,"[-1, -42, 1]",3,-1,"[-1, -1, -1]",_p,toppled,3,1,"[1, 1, 1]",3,-1,"[-1, -1, -1]"
264,1,-42,"[-42, -1, 1]",3,from,2,-1,"[-42, -1, -1]",1,-42,"[-42, -1, 1]",_p,toppled,2,1,"[-42, 1, 1]",1,-42,"[-42, -1, 1]"
265,2,1,"[1, -42, 1]",3,,2,1,"[1, -42, 1]",2,1,"[1, -42, 1]",_d,toppled,2,1,"[1, -42, 1]",2,1,"[1, -42, 1]"
266,3,1,"[1, 1, 1]",3,,2,1,"[-42, 1, 1]",3,1,"[1, 1, 1]",_od,toppled,3,1,"[1, 1, 1]",3,1,"[1, 1, 1]"
267,2,-1,"[-42, -1, -1]",3,on,2,-1,"[1, -1, -1]",3,-1,"[-1, -1, -1]",_dp,toppled,3,1,"[1, 1, 1]",3,-1,"[-1, -1, -1]"
268,2,-42,"[1, -42, -42]",3,into,2,-42,"[1, -42, -42]",2,-1,"[-1, 1, -1]",_dp,toppled,2,-1,"[-1, 1, -1]",2,1,"[1, 1, -1]"
269,2,-42,"[-42, -1, -42]",3,on,2,-42,"[-42, -1, -42]",3,-1,"[-1, -1, -1]",_op,began,1,-42,"[1, -1, -42]",2,-1,"[-1, -1, -42]"
270,3,-42,"[-42, -42, -42]",3,at,3,-42,"[-42, -42, -42]",3,-42,"[-42, -42, -42]",_op,began,3,-42,"[-42, -42, -42]",3,-42,"[-42, -42, -42]"
271,2,1,"[1, -1, 1]",3,as,3,-42,"[-42, -42, -42]",2,1,"[1, -1, 1]",_op,began,1,-42,"[1, -1, -42]",1,-42,"[1, -1, -42]"
272,3,-42,"[-42, -42, -42]",3,on,2,-42,"[-1, -42, -42]",3,-1,"[-1, -1, -1]",_p,began,3,1,"[1, 1, 1]",3,-1,"[-1, -1, -1]"
273,3,-42,"[-42, -42, -42]",3,at,1,-42,"[-42, -1, 1]",2,-42,"[1, -42, -42]",_p,began,3,1,"[1, 1, 1]",3,-42,"[-42, -42, -42]"
274,2,-42,"[1, -42, -42]",3,as,2,-42,"[1, -42, -42]",2,-42,"[1, -42, -42]",_p,began,2,-42,"[1, -42, -42]",2,-42,"[1, -42, -42]"
275,2,-42,"[-42, -42, 1]",3,,2,-42,"[-42, -42, -1]",2,-42,"[-42, -42, 1]",_d,began,2,1,"[-42, 1, 1]",2,-42,"[-42, -42, 1]"
276,1,-42,"[-1, 1, -42]",3,,2,-1,"[-1, -1, -42]",1,-42,"[-1, 1, -42]",_od,began,2,1,"[-1, 1, 1]",2,1,"[-1, 1, 1]"
277,1,-42,"[1, -1, -42]",3,as,1,-42,"[-1, 1, -42]",2,-1,"[-1, -1, -42]",_dp,began,2,-42,"[-42, 1, -42]",1,-42,"[1, -1, -42]"
278,1,-42,"[-1, 1, -42]",3,in,2,-42,"[-1, -42, -42]",1,-42,"[-1, 1, -42]",_p,towed,2,-42,"[-42, -1, -42]",1,-42,"[-1, 1, -42]"
279,1,-42,"[-1, -42, 1]",3,on,2,-1,"[-1, -42, -1]",2,-42,"[-1, -42, -42]",_p,towed,2,1,"[1, -42, 1]",2,-42,"[-1, -42, -42]"
280,2,-1,"[-1, -1, -42]",3,into,2,-1,"[-1, -1, -42]",2,-1,"[-1, -1, -42]",_p,towed,2,1,"[1, 1, -42]",2,-1,"[-1, -1, -42]"
281,1,-42,"[-1, 1, -42]",3,with,2,-1,"[-1, -1, -42]",1,-42,"[-1, 1, -42]",_p,towed,2,-42,"[-1, -42, -42]",2,-1,"[-1, 1, -1]"
282,2,-1,"[-42, -1, -1]",3,,2,-1,"[-42, -1, -1]",2,-1,"[-42, -1, -1]",_d,towed,3,-42,"[-42, -42, -42]",2,-1,"[-42, -1, -1]"
283,2,1,"[-42, 1, 1]",3,,3,-42,"[-42, -42, -42]",2,1,"[-42, 1, 1]",_od,towed,2,-42,"[-42, -42, 1]",2,1,"[-42, 1, 1]"
284,2,-1,"[1, -1, -1]",3,up,2,-42,"[1, -42, -42]",2,-1,"[1, -1, -1]",_dp,towed,2,1,"[-42, 1, 1]",2,-1,"[1, -1, -1]"
285,2,-42,"[-42, -1, -42]",3,on,3,-42,"[-42, -42, -42]",2,-1,"[1, -1, -1]",_dp,towed,3,-42,"[-42, -42, -42]",1,-42,"[1, -1, -42]"
286,2,-42,"[-42, -1, -42]",3,into,1,-42,"[-1, -42, 1]",3,-1,"[-1, -1, -1]",_dp,towed,3,1,"[1, 1, 1]",1,-42,"[1, -1, -42]"
287,2,1,"[1, -42, 1]",3,with,3,-42,"[-42, -42, -42]",1,-42,"[-1, -42, 1]",_dp,towed,3,-42,"[-42, -42, -42]",2,1,"[1, -42, 1]"
288,3,-1,"[-1, -1, -1]",3,by,2,-42,"[-42, -42, -1]",2,-1,"[-1, -42, -1]",_dp,towed,2,-42,"[-42, -42, 1]",3,-1,"[-1, -1, -1]"
